UserID,Gender,Age,AnnualIncome,LoanAmount,CreditScore,Defaulted
44119117,Male,68,68028,13987,446,1
46433622,Male,62,119263,38311,586,1
99482491,Female,30,15126,32575,352,1
70031992,Male,21,67329,2007,603,0
65105831,Male,18,42632,6445,368,1
13366612,Female,66,124945,11706,660,1
68743503,Female,57,70176,48517,519,1
46258670,Male,49,149869,45486,460,1
79739572,Male,51,49560,30257,388,1
65848857,Male,45,91589,22736,458,1
67055419,Female,48,37116,43207,788,1
59160571,Female,25,147717,14281,623,1
78394024,Female,56,139085,2435,680,1
74525468,Female,43,132718,34339,401,1
99966606,Male,51,34256,36150,793,1
48727468,Female,20,115158,26821,318,1
61757120,Female,67,134719,27660,753,1
77157848,Female,29,83244,6084,781,0
87897542,Female,18,71264,17661,696,1
83665032,Female,61,72545,14507,578,1
95390464,Male,22,54224,8059,664,0
58170987,Male,47,112945,19271,630,1
62562567,Female,47,28224,46539,643,1
33717335,Male,34,55738,8491,754,0
70472382,Female,65,78731,48295,364,1
22719242,Female,64,23070,15859,375,1
58715250,Male,40,141161,9073,442,1
93139152,Male,32,23666,10077,772,0
54054178,Female,54,72761,21953,716,1
48334882,Female,38,51368,12383,604,0
62441466,Female,31,56914,3353,796,0
59583876,Male,19,142738,24821,590,1
96117865,Female,28,82526,38567,401,1
73203558,Female,68,34956,25860,566,1
47407771,Female,56,61240,22195,302,1
93122310,Male,55,136008,12939,384,1
37009224,Female,51,109270,26338,627,1
61327755,Female,55,19757,22730,749,0
89018913,Male,67,34097,22427,753,0
17130144,Female,51,118892,36196,520,1
14545583,Female,35,85480,28083,453,1
64079037,Male,47,61163,22510,311,1
64474455,Female,32,34816,45064,432,1
51542436,Male,44,67853,8813,603,0
56626914,Male,68,111731,32598,592,1
63933927,Female,51,77823,48182,599,1
62453338,Female,69,16759,28570,342,1
24881728,Female,55,107374,28082,642,1
44045666,Female,50,148554,30241,625,1
22722094,Male,41,39442,31678,797,1
32178434,Female,32,108501,45569,663,1
56321408,Male,47,17079,12745,726,0
22796932,Female,59,148789,27029,320,1
84023414,Female,68,74676,14025,706,1
36063245,Female,34,105397,37124,635,1
49443226,Male,22,87847,15288,416,1
83619289,Female,46,108607,24650,423,1
17887739,Female,21,79077,7540,698,0
70736972,Female,27,53258,33232,350,1
71071026,Female,34,134771,17422,623,1
10769598,Male,27,53000,4342,440,0
99178975,Female,34,41737,42846,769,1
59007334,Male,37,26485,36612,633,1
38433648,Male,41,53565,11396,672,0
17971379,Male,22,134614,18482,793,1
13331068,Male,51,80155,24411,838,1
46810847,Male,23,67487,47766,455,1
44428803,Male,19,144948,14261,590,1
15654237,Female,30,27342,4093,443,0
71553124,Male,60,55806,12722,405,1
55816038,Male,60,63770,23042,719,1
27750764,Male,65,93623,45413,301,1
46898446,Female,28,118177,48851,389,1
33841962,Female,68,146026,29087,644,1
76834972,Male,64,90629,33347,649,1
53156515,Female,40,135993,34756,758,1
32993420,Male,33,141944,40214,562,1
72190751,Male,48,120947,17335,650,1
31970758,Female,28,41399,29602,407,1
46513466,Male,33,143177,49901,338,1
41288562,Female,25,124575,35450,458,1
31351509,Female,21,125904,33196,611,1
33484187,Male,57,45678,6626,540,0
71777469,Male,21,91218,8424,744,0
46093880,Female,42,78230,13857,597,1
60441204,Male,20,89055,45923,335,1
91752859,Male,49,87258,20982,383,1
54066131,Male,20,54986,12425,751,0
85415325,Female,44,100595,2980,684,0
45563453,Female,46,116358,49290,471,1
44755914,Male,49,79929,27431,675,1
60873983,Female,67,88506,20440,661,1
63892568,Female,68,49911,42752,440,1
33637222,Female,36,102127,18175,417,1
12484413,Female,38,128453,49651,576,1
80016224,Female,22,99458,27385,519,1
49449976,Male,35,27175,39158,325,1
99583549,Male,45,134235,24019,820,1
12235000,Male,59,69771,19639,309,1
33685747,Female,39,142157,20994,677,1
47876684,Female,38,136300,35375,451,1
82931048,Male,23,101925,22563,348,1
39859174,Female,18,81358,40341,453,1
46102853,Male,22,62057,6776,592,0
56159303,Male,58,21150,37444,349,1
22195226,Male,29,19425,4380,830,0
57936136,Female,43,31032,9711,359,1
79062973,Female,63,17198,9782,466,0
24421668,Male,51,133865,18434,501,1
31200096,Male,66,38236,47765,445,1
93375337,Male,31,102955,21017,738,1
33234510,Male,43,118145,31707,541,1
61715898,Female,62,109914,40110,782,1
55968757,Female,44,117870,18343,407,1
10061087,Male,26,131243,39827,525,1
90705119,Male,43,29596,42652,731,1
76653416,Female,64,147351,6655,718,1
95382256,Female,39,126496,45859,754,1
20274621,Male,64,145273,16251,459,1
23022704,Male,47,135674,1526,822,0
26816569,Male,60,135307,4224,376,1
17654909,Female,65,34063,48837,808,1
47814054,Female,34,82642,12536,740,0
94302960,Female,43,105093,29541,553,1
25421040,Male,53,50954,14547,619,0
34210512,Male,18,42856,35531,562,1
82073914,Female,25,17573,9712,673,0
77922032,Female,66,50367,39565,466,1
43779713,Male,52,114608,10208,758,1
21506305,Female,69,75774,6109,579,0
30560091,Female,32,38752,36201,601,1
96881845,Male,64,70029,17967,830,0
17734102,Female,39,145282,30759,517,1
15674719,Male,31,66693,21172,401,1
18658144,Male,43,131739,37935,587,1
50163712,Male,45,70961,27589,466,1
99386386,Male,40,141678,31015,335,1
95447809,Male,31,89532,30009,652,1
98917675,Male,41,96994,18773,372,1
54165849,Male,19,71133,42125,652,1
82586911,Female,62,76268,27143,369,1
78227907,Male,43,46653,7154,724,0
88826934,Male,31,136829,22804,816,1
59905866,Female,68,143377,42688,727,1
91121402,Female,24,16622,21581,838,0
50657662,Female,20,63756,31087,459,1
16659908,Male,64,55809,33981,448,1
41378291,Female,40,31725,4762,529,0
73020641,Male,63,66226,47167,366,1
46634821,Male,60,96182,10768,680,1
29433354,Male,64,44402,44408,357,1
26887294,Male,62,19263,40499,558,1
83422991,Female,35,62924,39559,641,1
45562619,Female,55,89182,49590,429,1
45213498,Male,52,50737,9783,471,1
45703247,Male,68,116332,47389,508,1
50910172,Male,32,104563,30781,653,1
72744322,Female,42,143575,31811,770,1
67805563,Male,54,116371,49787,415,1
16404003,Male,45,53709,36488,563,1
81244178,Female,27,36172,9905,741,0
61939266,Female,56,26555,10127,847,0
43267858,Male,34,68276,23431,752,1
31114003,Female,56,72492,7368,776,0
96641503,Female,39,104599,28424,586,1
20421958,Male,43,26046,47824,602,1
87809459,Female,61,131021,46004,610,1
22984808,Male,42,19853,19333,507,1
24764960,Female,34,135900,24116,745,1
60402943,Male,30,74129,48219,354,1
86241446,Male,37,129130,44201,311,1
63777024,Male,42,136789,16525,699,1
93494666,Female,21,53890,24398,814,1
80721464,Male,27,81017,33857,841,1
94711896,Female,20,147596,11361,536,1
89214742,Male,58,115424,17369,578,1
53799966,Male,62,30048,4041,647,0
20047453,Female,35,69912,1105,403,0
45581225,Male,64,49008,10078,816,0
44109026,Male,53,146132,26003,547,1
52090758,Female,64,98559,7090,663,1
26037627,Male,39,70337,39850,620,1
90337039,Male,51,125616,2925,585,1
30281689,Male,64,28350,19440,448,1
67631343,Male,25,39354,40685,383,1
81450611,Female,57,60186,27015,705,1
56510960,Female,66,43145,34320,755,1
42797855,Male,61,101123,26291,460,1
44795514,Female,36,35581,37679,759,1
15184502,Male,59,103929,27289,849,1
33448674,Female,58,38051,4389,799,0
65223954,Male,54,66474,26683,808,1
40948143,Male,23,106748,14629,780,1
22503247,Male,69,140995,25826,413,1
64006163,Male,43,84626,36198,660,1
61910807,Male,51,21960,27630,640,1
64847136,Male,62,51408,34226,748,1
83150359,Female,23,109006,47163,479,1
40831219,Male,54,72134,33975,706,1
33101383,Female,50,147413,1899,495,1
27569187,Male,39,105327,12653,765,1
64710375,Female,38,146410,28961,610,1
64456147,Female,23,26344,17405,561,1
88110973,Female,23,147822,9601,718,1
49501026,Male,65,82957,34662,705,1
43163773,Male,21,120423,34282,442,1
21310552,Female,47,73053,22288,641,1
41146082,Male,28,92454,30545,615,1
31104792,Female,47,105600,37877,400,1
31739356,Male,48,137732,47026,543,1
21471761,Female,41,52641,16313,789,0
29576703,Female,26,44711,16349,311,1
85092305,Male,20,85342,8179,538,1
82429249,Female,68,121896,11326,341,1
28877237,Male,48,102833,45555,728,1
56918818,Female,57,71276,2560,457,0
33705256,Female,54,34541,14612,515,1
94504547,Male,53,109457,18650,761,1
87633091,Male,41,59813,27745,433,1
89452960,Male,48,39070,32890,366,1
65403796,Female,23,95559,21022,306,1
33508102,Male,19,56786,5780,825,0
19405634,Female,37,51062,19311,372,1
15853584,Female,45,66571,29380,698,1
34947744,Male,28,40510,45662,704,1
58491183,Male,21,34426,3356,429,0
47856186,Female,32,52265,5790,765,0
58673237,Female,23,81150,27911,505,1
75293686,Male,66,102312,25363,565,1
11983509,Male,47,104613,21049,836,1
28298917,Male,55,89910,11181,552,1
53563237,Male,68,67375,40825,588,1
87729132,Male,19,136826,17082,463,1
87275698,Female,32,50435,1661,394,0
83214389,Female,28,111443,38412,409,1
36365210,Female,25,149055,49479,635,1
68245345,Female,43,38510,3920,537,0
37180308,Male,68,109071,26658,680,1
21326237,Male,62,21640,49770,735,1
96343264,Male,61,59547,15025,782,0
71864219,Female,22,69620,9946,324,1
64434670,Female,23,130608,29706,416,1
97692768,Male,43,22564,46500,781,1
43255876,Male,21,128824,40004,691,1
59114107,Female,36,94273,17309,836,1
25900476,Female,37,89859,47286,378,1
50820227,Male,50,125017,34120,472,1
89688895,Male,37,138618,31027,311,1
97927856,Female,66,140341,8005,427,1
63059071,Male,29,44430,47804,391,1
99595920,Male,64,42788,1956,842,0
22707035,Male,18,84346,35839,831,1
15130397,Female,43,111122,9595,746,1
80560220,Female,31,54974,48908,689,1
46998516,Female,55,122309,13803,342,1
46481541,Female,54,31371,26963,553,1
76385640,Female,28,60084,37221,429,1
76880548,Female,53,76916,40443,359,1
88384476,Female,30,88972,34723,766,1
52058334,Male,60,27984,40063,586,1
59742523,Male,20,48039,49689,816,1
49769056,Male,50,100431,16282,766,1
65174259,Male,23,98691,5703,644,0
66688830,Male,67,73606,7563,681,0
53369428,Male,27,117665,26849,552,1
24650271,Male,22,120373,32860,355,1
41725526,Female,40,39574,32585,762,1
89348896,Female,27,149502,23015,756,1
28992383,Male,61,47733,13003,382,1
80995266,Male,19,17050,44585,398,1
66877183,Female,30,124996,27958,448,1
94574185,Male,57,48933,27017,628,1
11989173,Male,19,39951,12171,455,1
46635193,Female,37,47413,46350,489,1
42474983,Male,18,127573,13201,793,1
43999533,Female,54,137744,30426,562,1
24716695,Male,26,104431,18778,379,1
73967150,Female,34,58001,46241,699,1
73981206,Female,26,82364,43229,559,1
74785345,Female,28,139988,22116,400,1
27882750,Male,32,60028,49364,658,1
88725274,Female,41,146878,34297,679,1
70303849,Male,55,139343,20342,520,1
20192257,Male,52,143301,28490,719,1
53167705,Male,47,141295,20975,423,1
31130343,Male,48,49636,27723,721,1
50869792,Female,66,39262,24279,530,1
59913224,Female,22,95435,13765,362,1
74356138,Male,61,143583,47678,784,1
77607727,Male,67,56844,12561,782,0
63007836,Female,31,79754,42899,818,1
75541801,Male,28,92129,1525,454,1
68114585,Female,26,55042,23861,391,1
36658609,Male,51,76665,34142,825,1
86294551,Male,29,131953,27916,754,1
40024204,Female,52,133533,45965,809,1
92008891,Male,52,88781,5648,482,1
58715257,Female,18,81262,36133,685,1
32268806,Male,57,61600,31523,704,1
16512440,Male,39,91898,30052,545,1
22431395,Male,46,45448,35414,770,1
83208492,Female,25,41172,33781,722,1
39093907,Male,28,22657,5599,364,0
46253447,Male,58,127855,36046,312,1
72134783,Male,54,22906,48064,512,1
72460303,Male,31,76413,36923,541,1
93831437,Female,47,69028,42089,792,1
74447435,Female,52,22287,4814,512,0
59895282,Male,38,48660,46893,637,1
12503771,Female,54,75504,36984,472,1
80286689,Male,22,117979,27616,463,1
10996161,Male,36,49701,3113,764,0
14183839,Male,31,98300,44006,796,1
77775190,Female,43,98560,14760,694,1
77758014,Female,21,58642,22927,607,1
30153173,Female,42,80160,21939,482,1
77227698,Female,62,32602,33419,809,1
58939582,Female,59,118320,13588,845,1
66224957,Female,42,103801,37142,526,1
32725756,Female,35,40931,40198,735,1
81531065,Female,57,109377,45738,721,1
11079600,Female,25,44192,34397,320,1
36191539,Male,56,61542,17653,696,1
42576169,Female,57,142015,11831,404,1
53381573,Female,31,57520,6724,491,0
80612021,Female,49,79772,12083,316,1
35050090,Female,68,65106,46917,419,1
18849851,Female,55,96121,20816,692,1
70779108,Female,50,40559,43240,724,1
